codigo,nombre,poblacion,superficie_km2,densidad_pobl,urbano,analfabetismo,fin_secundaria_inmediata,fin_secundaria_adultos,participacion_mujeres,agua_mejorada,saneamiento_mejorado,electricidad,desempleo_adulto,desempleo_joven,tics_internet,tics_celular,hogares
ARG060070007,Adolfo Alsina,17344,5882,3.205,0,0.015896708709605193,0.4220665499124343,0.40027982701602643,0.6505144995322731,0.8484848484848485,0.7316017316017316,0.9963123296456631,0.0603680981595092,0.13561847988077497,,0.8613115279781947,6266
ARG060140014,Adolfo Gonzales Chaves,12847,3789,3.4083,0,0.01242437337942956,0.46080760095011875,0.4114147611080126,0.6215633423180593,0.8532984043819958,0.7277923315075018,0.9983329364134318,0.04330348985930934,0.10596026490066225,,0.886401524172422,4208
ARG060210021,Alberti,12906,1123,11.5601,0,0.011159107271418287,0.6056701030927835,0.4996871741397289,0.6261055199756023,0.7876175548589341,0.8388192267502613,0.9984326018808777,0.03090871625798475,0.07663316582914573,,0.8691222570532915,3835
ARG060280028,Almirante Brown,583209,129,4533.5426,0.9999999999683118,0.014175422702340741,0.47727584786489086,0.42484597036726257,0.6086539045211988,0.4964154739469261,0.6611763357612185,0.9980644832679673,0.07368348152622649,0.14501547987616098,,0.8423954566291448,157142
ARG060350035,Avellaneda,366117,56,6563.4643,0.9999999999305644,0.009418066171957819,0.5633670665504993,0.5681199155828929,0.6764782790600377,0.9936090924380161,0.830888796438087,0.9993184212156887,0.06927693156862515,0.1473838154046149,,0.8261265966204314,113070
ARG060420042,Ayacucho,21757,6756,3.253,0,0.014928304851699077,0.4111111111111111,0.3922428330522766,0.635450421257291,0.8482847710635855,0.8118271853021387,0.995550452131477,0.03927068723702665,0.08205998868138087,,0.8643605569111525,6984
ARG060490049,Azul,75152,6538,11.6098,0,0.014677907046596848,0.4950576606260296,0.49614728946471187,0.6111983511630189,0.9057073082489147,0.8393180173661361,0.9938947178002895,0.051993543734331536,0.1243958814877075,,0.8744120839363242,22167
ARG060560056,Bahía Blanca,334505,2240,150.2563,0.9642230116544206,0.00900972731621751,0.6304253337472835,0.595776542199914,0.6241349223660989,0.9895482963723087,0.902143549398552,0.9991353590635275,0.06645046464674888,0.15274997998558962,,0.9039013359177546,105440
ARG060630063,Balcarce,48516,4120,11.8888,0,0.016022620169651274,0.5246819338422392,0.4328292034090349,0.5922274199352285,0.8932744565217392,0.8086277173913043,0.9922554347826087,0.057566854240326676,0.1310914790538615,,0.8612771739130435,14746
ARG060700070,Baradero,39223,1530,26.1451,0,0.020448816976989997,0.5675119945167924,0.46519604546371646,0.5865905286994191,0.9221390168970814,0.7371351766513057,0.9956797235023042,0.058699064910245034,0.13527460375967565,,0.8583909370199693,10444
ARG060770077,Arrecifes,32077,1244,25.8963,0,0.014108944797041232,0.4369158878504673,0.370480322752531,0.6022457352623624,0.9414414414414414,0.7843075633773307,0.9964382987638801,0.04938647968904809,0.10028889806025588,,0.8784831342970878,9563
ARG060840084,Benito Juárez,21185,5336,4.1777,0,0.010471544715447154,0.41702127659574467,0.4086034040568897,0.6178151260504202,0.9040671971706454,0.7785145888594164,0.9973474801061007,0.05574832292389544,0.13338088445078458,,0.8719422340111995,6835
ARG060910091,Berazategui,358328,220,1630.5091,0.99833807558137,0.011027937441518514,0.48058902275769744,0.45233441910966343,0.6056749720386853,0.93636481019196,0.8033593010243608,0.9989670310751485,0.07898629326496401,0.1578862574512647,,0.8559115950761814,92986
ARG060980098,Berisso,100685,145,696.069,0.9825696762927535,0.010725344422671314,0.5958799593082401,0.5452076981707317,0.6180473986042977,0.9837534605857496,0.7946597697799795,0.9945723444557774,0.0675211828808718,0.15720407070166043,,0.823801544514061,27476
ARG061050105,Bolívar,37194,4935,7.6178,0,0.010368349249658937,0.5049833887043189,0.4525071341214839,0.6032993692382339,0.8973504415930679,0.8205299116813864,0.9961673054490918,0.03414471490496832,0.07530581039755352,,0.8689385102482919,12633
ARG061120112,Bragado,46227,2199,21.1478,0,0.013490196078431372,0.44653272845106934,0.45962833288446,0.6075583665183103,0.8822335735777762,0.7511020922258764,0.9957315793156533,0.04538783497309344,0.11473755047106325,,0.8634805122104822,14316
ARG061190119,Brandsen,32350,1114,29.1275,0.7340408141978917,0.01464643813323534,0.4940047961630695,0.46641979464736577,0.6204290589956118,0.6310667948101875,0.7143200384430562,0.9917107160019222,0.047961434757741644,0.09370015948963317,,0.8820278712157616,8336
ARG061260126,Campana,107976,986,112.1359,0.9030904669680057,0.013910489027129774,0.4817598938757462,0.4924211201172322,0.5789029535864979,0.9180071730407301,0.6671993182060296,0.9979759241504209,0.06125932334167271,0.1347922244209056,,0.8839529846241255,28201
ARG061340134,Cañuelas,70542,1186,59.5987,0.9078928397995153,0.01888019069805239,0.43344155844155846,0.4251573396836197,0.5845850775671017,0.33757836990595613,0.6584378265412748,0.9963427377220481,0.05398642917726887,0.11012505042355789,,0.8888453500522466,15333
ARG061400140,Capitán Sarmiento,15882,549,29.0801,0,0.014013555596263052,0.46458923512747874,0.3944108761329305,0.6316944688323091,0.8889126712328768,0.882277397260274,0.9950770547945206,0.03905792861322411,0.0983733539891557,,0.8852739726027398,4678
ARG061470147,Carlos Casares,22905,2532,9.1232,0,0.011495615074662242,0.4071246819338422,0.3954,0.6268983644859814,0.82983922829582,0.7864951768488746,0.9969131832797428,0.03433098591549296,0.07535753575357536,,0.8668810289389067,7799
ARG061540154,Carlos Tejedor,14007,3912,3.5989,0,0.017255080031785674,0.4513064133016627,0.3895951496186192,0.6102919919051749,0.6262575452716298,0.6609657947686117,0.9969818913480886,0.023585810162991373,0.053117782909930716,,0.8558853118712274,3985
ARG061610161,Carmen de Areco,17345,1061,16.4929,0,0.019013128112267994,0.48493975903614456,0.3698851928171916,0.6279322328410079,0.774994601597927,0.6689699848844741,0.9952494061757721,0.03588860178007465,0.06848249027237355,,0.8985100410278557,4641
ARG061680168,Castelli,9551,2113,4.5405,0,0.016701461377870562,0.4913294797687861,0.40968443960826983,0.6037514654161782,0.8151414920984932,0.8129364204336642,0.9930172730613744,0.04616210413311862,0.12166172106824925,,0.8941565600882029,2738
ARG061750175,Colón,27406,1001,27.4765,0,0.01652412628022384,0.4522058823529412,0.41550224097020827,0.5895341416719847,0.8688804785740447,0.7376388719326089,0.9985349774142351,0.06258298663361954,0.13579630554168748,,0.8753509949945062,8213
ARG061820182,Coronel de Marina Leonardo Rosales,65823,1290,52.3279,0.005795579633584499,0.004817265078039694,0.64,0.6524673284296222,0.563149701200221,0.9766217680755535,0.9292976208907466,0.9956133560406667,0.07221779245927783,0.17560860316709997,,0.8978169995355318,19431
ARG061890189,Coronel Dorrego,15795,5845,2.7319,0,0.011573701977174087,0.4704861111111111,0.43311466058185966,0.6102117061021171,0.8846897521532783,0.8764281947618211,0.9963086658463701,0.051001562721977554,0.1275797373358349,,0.8451397433643875,5707
ARG061960196,Coronel Pringles,24110,5257,4.6452,0,0.013466870367226843,0.4272189349112426,0.3884800314002551,0.601082281115582,0.8619241694454737,0.8009139187353341,0.99481289366432,0.05673141973518894,0.12493120528343424,,0.8705693466716068,8115
ARG062030203,Coronel Suárez,41713,5984,7.0371,0,0.009413251729643426,0.432523616734143,0.43203453619659066,0.6765041578346649,0.8095308898966619,0.7035908110921121,0.9987361534458404,0.03097530347425701,0.0656115107913669,,0.8879637201695041,13469
ARG062100210,Chacabuco,52409,2290,23.0266,0,0.016004061130704284,0.44920373421197146,0.42591020772838956,0.6231970358607913,0.9053103782735209,0.8523884578079535,0.995756547041707,0.03436762676401193,0.07399520894330583,,0.86475509214355,16515
ARG062180218,Chascomús,42191,3159,13.4384,0,0.010376463144574502,0.4832100170745589,0.4633441675695197,0.6471916879987953,0.7927785370064016,0.7911961447169675,0.9971229231101201,0.05563114134542706,0.13213885778275475,,0.8980076242537581,13956
ARG062240224,Chivilcoy,70554,2059,34.4046,0,0.016229386062058274,0.46660808435852374,0.44777770097463193,0.6381066506890354,0.8386481330062687,0.6856545834468974,0.9955482874534387,0.061854286864349926,0.16379139401150108,,0.8407831380030889,22050
ARG062310231,Daireaux,18328,3823,4.8187,0,0.013859020310633213,0.4170337738619677,0.38766345264826313,0.6234341877047601,0.7932104398612886,0.7868224128490602,0.9968972440226319,0.03535288843345715,0.07494795281054822,,0.9060047453914948,5491
ARG062380238,Dolores,31405,1978,16.1941,0,0.01616447721834253,0.5313964386129335,0.48652732309242,0.6141098484848485,0.7471123944913372,0.6219458018658374,0.9950022212350067,0.046813599863317956,0.13423180592991915,,0.8582852065748556,9026
ARG062450245,Ensenada,63978,114,561.3772,0.9953472814990995,0.008488278092158448,0.4785544082605242,0.49411940969361,0.6345027608901779,0.9977600367583712,0.8151168801332491,0.9968985124346678,0.06958032712575077,0.13762376237623763,,0.8536557348802482,17437
ARG062520252,Escobar,256071,301,851.3887,0.9800765426927742,0.014323422350068128,0.4689419196350237,0.4397426877073073,0.6279089986958412,0.25110785326358576,0.633925299037084,0.9971678939126378,0.07041528706949286,0.14749966242066886,,0.8872488588278412,60065
ARG062600260,Esteban Echeverría,337880,121,2797.3554,1,0.013827917207358938,0.4575025562372188,0.42712067326314307,0.5950850623656778,0.5070298157142524,0.6585484882991332,0.9985591782668309,0.07522260610657004,0.14042825183764782,,0.8527340754339895,86088
ARG062660266,Exaltación de la Cruz,40036,637,63.044,0.07249945833267615,0.017209644763482423,0.40514246004169563,0.4219397021431166,0.6664885659328916,0.5696077354136908,0.7346445445555434,0.995934512690913,0.041680694902700155,0.0847778127954617,,0.8942973299637402,9119
ARG062700270,Ezeiza,198620,238,846.6849,0.9999999999629,0.014905219875949543,0.38051963183036236,0.3669211539760827,0.5998649170204554,0.1745001123343069,0.6603010559424848,0.9960682992585935,0.07838271785140856,0.13610888710968774,,0.8614468658728376,44536
ARG062740274,Florencio Varela,488103,190,2612.8053,1,0.019308539629776668,0.3938438635667061,0.3116250728554019,0.5519084421545113,0.7701477501678979,0.5619631684988159,0.9973401435085362,0.08747539436068247,0.15122413093466794,,0.8486621186949913,113223
ARG062770277,Florentino Ameghino,10759,1813,5.9515,0,0.019347958561852528,0.37371134020618557,0.35572012257405516,0.5943293347873501,0.8000669792364368,0.7829872739450771,0.9983255190890824,0.033177684934873435,0.07368421052631578,,0.8985264567983925,2992
ARG062800280,General Alvarado,45307,1628,27.9644,0,0.014796297547463009,0.5404129793510325,0.47732022820990794,0.5881210551869235,0.896559849198869,0.7748978950675464,0.9953660069117185,0.05902957220786678,0.13881829733163914,,0.8779453345900095,12798
ARG062870287,General Alvear,10150,3366,3.8714,0,0.02102481617647059,0.4675324675324675,0.3763768455589407,0.6047843665768194,0.8434099153567111,0.7085852478839177,0.9960701330108828,0.038027195206268724,0.09655172413793103,,0.8993349455864571,3321
ARG062940294,General Arenales,16231,1486,11.0027,0,0.015382014874915483,0.557347670250896,0.4587507365939894,0.5830082358040746,0.8248545147362494,0.6478318002628121,0.9979350478693448,0.0349809885931559,0.07857811038353602,,0.8554533508541393,5341
ARG063010301,General Belgrano,20674,1858,11.19,0,0.010549943883277216,0.48214285714285715,0.4216393442622951,0.6208388188828287,0.7380159786950732,0.6862516644474035,0.9961717709720372,0.04356662009399213,0.088011088011088,,0.8761651131824234,6027
ARG063080308,General Guido,3157,2326,1.3646,0,0.016605166051660517,0.5819672131147541,0.4075531077891424,0.5396634615384616,0.7154228855721393,0.48955223880597015,0.9880597014925372,0.030032467532467532,0.08955223880597014,,0.8587064676616916,1011
ARG063150315,General Juan Madariaga,22566,2982,7.5869,0,0.019643104163784755,0.3623693379790941,0.36720661927514275,0.59359162988393,0.4222994314592546,0.7356285533796588,0.9932090966519268,0.05012042665443285,0.12744516893894486,,0.857706885660139,6342
ARG063220322,General La Madrid,11535,4814,2.4134,0,0.01046610685164902,0.42782152230971127,0.35613964686998395,0.6141893872764586,0.620863118877416,0.5499073338628542,0.9925867090283292,0.044400785854616896,0.1128084606345476,,0.9070691024622717,3791
ARG063290329,General Las Heras,17980,751,23.9973,0.8913105053150092,0.011288546255506607,0.5970149253731343,0.47625349213350976,0.6395895681915349,0.5412626589097177,0.6537384184443009,0.9961215255332903,0.0451063829787234,0.10369318181818182,,0.8894634776987718,4643
ARG063360336,General Lavalle,4846,2705,1.8004,0,0.020074349442379184,0.35714285714285715,0.3311298076923077,0.5462713387241689,0.48384353741496594,0.6632653061224489,0.9846938775510204,0.051250762660158634,0.11726384364820847,,0.923469387755102,1183
ARG063430343,General Paz,14141,1200,11.8392,0,0.016315350720495416,0.48723404255319147,0.4111561866125761,0.6210682492581603,0.7123215230037018,0.712585933368588,0.9920676890534109,0.040756054341405785,0.08875128998968008,,0.8741406663141195,3789
ARG063510351,General Pinto,12842,2558,5.059,0,0.015756426963629902,0.42857142857142855,0.3820801263074798,0.6318507890961262,0.8148148148148148,0.6833847736625513,0.9953703703703703,0.040227703984819736,0.09351753453772582,,0.8991769547325102,3888
ARG063570357,General Pueyrredón,660569,1462,456.2804,0.9857739721572151,0.010069405055328101,0.5952057560295143,0.5617429955864269,0.6561135911470963,0.933431406843742,0.9149539741335109,0.9986055671891397,0.06723171323886461,0.15465503975378303,,0.8596414726360531,209398
ARG063640364,General Rodríguez,142315,367,388.8529,0.9571681968080703,0.017801410241590567,0.42056932966023874,0.3766270734673809,0.5554124185652766,0.3520471588402775,0.6036411757629225,0.9949071660584673,0.061383634543442755,0.09315832268556162,,0.9049605004611622,24965
ARG063710371,General San Martín,444503,57,7904.8246,0.9999999999767609,0.011095846004229635,0.4833870318163512,0.493316323978188,0.6872072228617766,0.982293997470571,0.7743195611665307,0.9988325712617959,0.05866192170818505,0.12180218735140276,,0.8375403174508146,133710
ARG063850385,General Viamonte,22530,2140,10.5836,0,0.020128995676518536,0.46206896551724136,0.4308821699639169,0.5973427812223207,0.5644288895959275,0.7112631244034363,0.9941139039134584,0.04248447204968944,0.08982035928143713,,0.8720967228762329,6304
ARG063920392,General Villegas,35055,7262,4.8542,0,0.014936487078405607,0.4040574809805579,0.4010520329826557,0.6073449343439735,0.4219686714368594,0.7015084122993618,0.9950686520982402,0.034038054968287525,0.078125,,0.8907368013923805,10362
ARG063990399,Guaminí,11662,4824,2.4463,0,0.012831761351173502,0.4702549575070821,0.4202710228327455,0.6531775434596752,0.7909564393939394,0.7400568181818181,0.9964488636363636,0.03725701943844492,0.07957244655581948,,0.8851799242424242,4250
ARG064060406,Hipólito Yrigoyen,10581,1645,6.4809,0,0.016456921587608905,0.4423676012461059,0.41853798375537504,0.6175559380378658,0.8728376327769348,0.82701062215478,0.9915022761760244,0.033854166666666664,0.07976366322008863,,0.9071320182094081,3305
ARG064080408,Hurlingham,185361,36,5156.6944,1,0.010541426520686478,0.541671206013727,0.5044522675502174,0.6549532340930049,0.3482602448207497,0.770239546008476,0.999199694428782,0.07133949448836432,0.14410801039430574,,0.8524527546881536,55022
ARG064100410,Ituzaingó,177983,38,4742.9474,0.9999999999283726,0.007636269224307772,0.5869621903520209,0.5999338632438854,0.6810547292007686,0.13596824099480415,0.8273687897717321,0.9988518496896103,0.06700883946392928,0.15706971746412995,,0.8685659797224979,51442
ARG064120412,José C. Paz,326527,50,6539.84,0.9999999999411875,0.017901103565365027,0.4265619665414817,0.33238716297853327,0.5745809958128739,0.1782236073237242,0.6682759196393789,0.9985808893093662,0.07034877976484537,0.1270080673447913,,0.8838416161166454,71912
ARG064130413,Junín,100964,2255,46.0253,0.9024024870046191,0.010763942912912489,0.5450777202072539,0.5522210052330534,0.6491400491400492,0.9381708887934735,0.9126069293523137,0.9966311061201572,0.05006149171670404,0.12085308056872038,,0.8862172606268784,30346
ARG064200420,La Costa,100400,234,430.2949,0,0.01242118417813796,0.4873259550160657,0.4812180126822674,0.5936249482544501,0.26330953275710883,0.8695143847342268,0.9974946761868971,0.06335371406270326,0.12232096184004182,,0.8738987014071569,24213
ARG064270427,La Matanza,1837168,327,5630.7248,1,0.014976509920209763,0.47302325085551633,0.4003511926570123,0.5917154830224569,0.7469820406682389,0.7717956858023979,0.9982766297804971,0.07861405402266028,0.14630433463683146,,0.8465334696637367,485284
ARG064340434,Lanús,460081,50,9225.34,1,0.010624012529331154,0.5634782608695652,0.5369380683893149,0.6691768405595587,0.995633978511931,0.6819578018322536,0.9992958029857955,0.06776478397191242,0.1413380806890081,,0.8237227207489973,149205
ARG064410441,La Plata,756074,893,860.5487,0.9787899591405445,0.010823595044325666,0.6930386740331491,0.6652378734741851,0.6935681484036085,0.9181639972176301,0.8628869797736164,0.9982113336404781,0.05593943968876352,0.12819352243009455,,0.8783616538840258,221792
ARG064480448,Laprida,11496,3448,3.3776,0,0.014770459081836327,0.294478527607362,0.4015374180420529,0.6298092466860653,0.866647465437788,0.6820276497695853,0.9971198156682026,0.036483516483516484,0.09242618741976893,,0.8914170506912442,3482
